;Alin hyväksytty pistemäärä;Ylin hyväksytty pistemäärä
Sosiaali- ja terveysalan ylempi AMK, Sosiaali- ja terveysalan kehittäminen ja johtaminen, verkkototeutus;61,50;92,00
Sosionomi (AMK), monimuotototeutus;75,30;358,57
Sosionomi (AMK), päivätoteutus;95,00;401,48
Terveydenhoitaja (AMK), päivätoteutus;32,00;306,66
Toimintaterapeutti (AMK), monimuotototeutus;105,00;407,19
Tradenomi (AMK), liiketalous, monimuotototeutus;69,00;111,50
Tradenomi (AMK), liiketalous, päivätoteutus;91,00;226,15
Tradenomi (AMK), tietojenkäsittely, verkkototeutus;72,97;89,06
Tradenomi (AMK), Y-akatemia;63,00;95,00
Tradenomi (ylempi AMK), Johtaminen ja liiketoimintaosaaminen, verkkototeutus, Karelia-ammattikorkeakoulu;62,25;87,50
LAB-ammattikorkeakoulu;;
Bachelor of Business Administration, Business Information Technology, full-time studies, Lahti;70,00;125,00
Bachelor of Business Administration, International Business, full-time studies, Lahti;56,00;160,00
Bachelor of Business Administration, International Business, full-time studies, Lappeenranta;71,00;156,00
Bachelor of Culture and Arts, Sustainable Design Business, full-time studies;74,00;100,00
Bachelor of Engineering, Industrial Information Technology, full-time studies, Lahti;75,00;163,00
Bachelor of Engineering, Industrial Mechanical Engineering, full-time studies, Lappeenranta;103,00;181,00
Bachelor of Engineering, Sustainable Construction Technology, full-time studies, Lahti;114,00;179,00
Bachelor of Engineering, Sustainable Solutions Engineering, online studies;58,00;168,00
Bachelor of Health Care, Paramedic Nurse, full-time studies, Lappeenranta;94,00;171,00
Bachelor of Hospitality Management, Tourism and Hospitality Management, full-time studies, Lappeenranta;87,00;182,00
Ensihoitaja (AMK), päivätoteutus, Lappeenranta;100,00;390,25
Ensihoitaja (AMK), verkkopainotteinen monimuotototeutus, Lappeenranta;105,00;411,27
Ensihoitajan muuntokoulutus sairaanhoitajille, Lappeenranta;316,25;405,03
Fysioterapeutti (AMK), päivätoteutus, Lahti;107,00;424,54
Fysioterapeutti (AMK), päivätoteutus, Lappeenranta;101,00;379,46
Fysioterapeutti (AMK), verkkopainotteinen monimuotototeutus, Lahti;93,00;402,43
Fysioterapeutti (AMK), verkkopainotteinen monimuotototeutus, Lappeenranta;109,00;415,14
Insinööri (AMK), kestävä kaupunkisuunnittelu, monimuotototeutus, Lahti;56,00;335,68
Insinööri (AMK), konetekniikka, päivätoteutus, Lahti;61,00;323,75
Insinööri (AMK), Konetekniikka, päivätoteutus, Lappeenranta;48,00;266,83
Insinööri (AMK), konetekniikka, verkko-opinnot;42,00;331,34
Insinööri (AMK), puutekniikka, päivätoteutus, Lahti;55,00;220,63
Insinööri (AMK), puutekniikka, verkko-opinnot;47,00;321,25
Insinööri (AMK), Rakennus- ja yhdyskuntatekniikka, päivätoteutus, Lappeenranta;53,00;287,35
Insinööri (AMK), sähkö- ja automaatiotekniikka, monimuotototeutus, Lahti;78,00;96,00
Insinööri (AMK), sähkö- ja automaatiotekniikka, päivätoteutus, Lahti;45,00;370,21
Insinööri (AMK), sähkö- ja automaatiotekniikka, päivätoteutus, Lappeenranta;61,00;307,06
Insinööri (AMK), tieto- ja viestintätekniikka, verkko-opinnot;92,00;382,50
Insinööri (AMK), ympäristöteknologia, monimuotototeutus, Lahti;62,00;321,68
Insinööri (ylempi AMK), IoT:stä tekoälyyn, verkko-opinnot;71,00;100,00
Insinööri (ylempi AMK), Kestävä kaupunkiympäristö, verkko-opinnot;58,00;100,00
Insinööri (ylempi AMK), uudistava johtaminen, verkko-opinnot;38,00;49,00
Kulttuuriala (ylempi AMK), muotoiluajattelu ja asiakaskokemus, Lahti;54,00;95,00
Kulttuuriala (ylempi AMK), muotoilun ja median digitaaliset ratkaisut, Lahti;63,00;95,00
Kuvataiteilija (AMK), Kuvataide, päivätoteutus, Lappeenranta;64,00;100,00
Kuvataiteilija (AMK), valokuvaus, päivätoteutus, Lahti;63,00;78,00
Kuvataiteilija (ylempi AMK), kuvataide, Lappeenranta;60,00;90,00
Master of Business Administration, Business Innovation Culture and Creativity, online studies;69,00;98,00
Master of Engineering, Urban sustainability, online studies;75,00;95,00
Medianomi (AMK), digitaalisen kokemuksen suunnittelu, päivätoteutus, Lahti;50,00;81,00
Moderni johtajuus (ylempi AMK), verkko-opinnot;41,00;50,00
Muotoilija (AMK), puettava muotoilu, päivätoteutus, Lahti;62,00;92,00
Muotoilija (AMK), sisustusarkkitehtuuri ja kalustemuotoilu, päivätoteutus, Lahti;54,00;78,00
Muotoilija (AMK), tuotemuotoilu, päivätoteutus, Lahti;83,00;98,00
Muotoilija (AMK), visuaalisen viestinnän muotoilu, päivätoteutus, Lahti;61,00;93,00
Rakennusmestari (AMK), Rakennusalan työnjohto, monimuotototeutus, Lappeenranta;74,00;97,00
Restonomi (AMK), hotelli- ja ravintola-alan liikkeenjohto, verkko-opinnot;61,00;214,46
Restonomi (AMK), matkailu- ja tapahtumaliiketoiminta, päivätoteutus, Lahti;64,77;214,34
Sairaanhoitaja (AMK), maahanmuuttajille suunnattu koulutus, päivätoteutus, Lahti;26,00;60,00
Sairaanhoitaja (AMK), päivätoteutus, Lahti;98,00;362,59
Sairaanhoitaja (AMK), päivätoteutus, Lappeenranta;74,00;334,85
Sairaanhoitaja (AMK), verkkopainotteinen monimuotototeutus, Lahti;96,00;377,28
Sairaanhoitaja (AMK), verkkopainotteinen monimuotototeutus, Lappeenranta;94,00;382,08
Sosiaali- ja terveysala (ylempi AMK), Hyvinvointialan palvelumuotoilu, verkko-opinnot;80,00;96,00
Sosiaali- ja terveysala (ylempi AMK), kuntoutuksen ja liikunnan integraatio, verkko-opinnot;44,00;94,00
Sosiaali- ja terveysala (ylempi AMK), sosiaali- ja terveyspalvelujen digiasiantuntija, verkko-opinnot;74,17;96,75
Sosiaali- ja terveysala (ylempi AMK), Tulevaisuuden  johtaja sosiaali- ja terveysalalla, verkko-opinnot, S2023 yhteishaku;85,00;98,00
Sosionomi (AMK), päivätoteutus, Lahti;93,00;382,08
Sosionomi (AMK), päivätoteutus, Lappeenranta;93,00;358,02
Sosionomi (AMK), verkko-opinnot;96,00;449,06
Sosionomi (AMK), verkkopainotteinen monimuotototeutus, Lahti;94,00;409,50
Sosionomi (AMK), verkkopainotteinen monimuotototeutus, Lappeenranta;94,00;382,58
Sosionomi (ylempi AMK), Lapsi- ja perhepalveluiden kehittäminen, verkko-opinnot;89,00;98,00
Terveydenhoitaja (AMK), päivätoteutus, Lappeenranta;63,00;309,86
Terveydenhoitaja (AMK), verkkopainotteinen monimuotototeutus, Lappeenranta;97,00;371,35
Terveydenhoitajan muuntokoulutus sairaanhoitajille, Lappeenranta;171,37;399,78
Tradenomi (AMK), liiketalous ja logistiikka, verkko-opinnot;99,00;266,43
Tradenomi (AMK), liiketalous, päivätoteutus, Lahti;84,00;264,93
Tradenomi (AMK), Liiketalous, päivätoteutus, Lappeenranta;87,00;245,00
Tradenomi (AMK), Liiketalous, verkko-opinnot;110,00;274,38
Tradenomi (AMK), tietojenkäsittely, päivätoteutus, Lahti;67,00;216,43
Tradenomi (AMK), tietojenkäsittely, päivätoteutus, Lappeenranta;53,00;217,86
Tradenomi (ylempi AMK), Asiakassuuntautuneen liiketoiminnan kehittäminen, verkko-opinnot;78,67;84,33
Tradenomi (ylempi AMK), liiketoiminnan digitaaliset ratkaisut, verkko-opinnot;70,00;87,00
Lapin ammattikorkeakoulu;;
Agrologi (AMK), monimuoto-opinnot, Rovaniemi;42,00;175,00
Bachelor of Business Administration, International Sustainable Business, Rovaniemi;27,15;141,00
Bachelor of Engineering, Machine Learning and Data Engineering, Rovaniemi;44,90;149,00
Bachelor of Hospitality Management, Tourism, Rovaniemi;35,05;182,00
Biotalouden ja energiantuotannon johtamisen asiantuntija (ylempi AMK), verkko-opinnot, Lapin AMK, syksyn 2023 yhteishaku;50,00;94,00
Digiajan palvelujohtaminen (YAMK), verkko-opinnot 60/90 op, Lapin AMK Master School (ylempi AMK);70,50;92,00
Digitaalisten terveyspalveluiden ja terveyden edistämisen asiantuntija (ylempi AMK), verkko-opinnot, syksyn 2023 yhteishaku;79,00;100,00
Ennakoinnin ja kehittämisen asiantuntija (ylempi AMK), verkko-opinnot, Lapin AMK, syksyn 2023 yhteishaku;87,00;98,00
Fysioterapia (AMK), monimuoto-opinnot, Rovaniemi;93,00;371,72
Geronomi (AMK), monimuoto-opinnot, Kemi;45,00;291,99
Hyvinvoinnin analytiikan asiantuntija, verkko-opinnot, 60/90 op, Lapin AMK Master School (ylempi AMK);68,03;84,83
Insinööri (AMK), konetekniikka, monimuoto-opinnot, Kemi;50,00;322,59
Insinööri (AMK), konetekniikka, päiväopinnot, Kemi;33,00;192,68
Insinööri (AMK), maanmittaustekniikka, monimuoto-opinnot, Rovaniemi;95,00;363,54
Insinööri (AMK), maanmittaustekniikka, päiväopinnot, Rovaniemi;64,00;273,36
Insinööri (AMK), rakennus- ja yhdyskuntatekniikka, monimuoto-opinnot, Rovaniemi;74,00;288,07
Insinööri (AMK), rakennus- ja yhdyskuntatekniikka, päiväopinnot, Rovaniemi;44,00;276,86
Insinööri (AMK), sähkö- ja automaatiotekniikka, monimuoto-opinnot, Kemi;47,00;299,96
Insinööri (AMK), sähkö- ja automaatiotekniikka, päiväopinnot, Kemi;46,00;234,24
Insinööri (AMK), tieto- ja viestintätekniikka, päiväopinnot, Rovaniemi;72,00;363,93
Insinööri (AMK), tieto- ja viestintätekniikka, verkko-opinnot, Rovaniemi;95,00;377,59
Kuvataiteilija (AMK), päiväopinnot, Tornio;58,00;100,00
Kuvataiteilija kiintiö: Ennakoinnin ja kehittämisen asiantuntija (ylempi AMK), verkko-opinnot, Lapin AMK, syksyn 2023 yhteishaku;72,00;72,00
Liikunnanohjaaja (AMK), monimuoto-opinnot, Rovaniemi;97,00;387,37
Master of Business Administration, Digital Business Management, Lapland UAS;62,00;92,00
Master of Managing Sustainability and Systems Change, Rovaniemi, Lapland UAS;50,00;96,00
Metsätalousinsinööri (AMK), monimuoto-opinnot, Rovaniemi, syksyn 2023 yhteishaku;113,00;246,50
Metsätalousinsinööri (AMK), päiväopinnot, Rovaniemi;103,00;251,57
Rakennusmestari (AMK), monimuoto-opinnot, Rovaniemi, syksyn 2023 yhteishaku;115,00;328,91
Restonomi (AMK), matkailu- ja palveluliiketoiminta, monimuoto-opinnot, Rovaniemi;40,00;191,43
Restonomi (AMK), matkailu- ja palveluliiketoiminta, verkko-opinnot, Rovaniemi, syksyn 2023 yhteishaku;54,00;211,70
Riskienhallinnan ja vastuullisen liiketoiminnan asiantuntija, verkko-opinnot, 60/90 op, Lapin AMK Master School (ylempi AMK);78,40;95,50
Sairaanhoitaja (AMK), monimuoto-opinnot, Kemi;60,00;332,85
Sairaanhoitaja (AMK), monimuoto-opinnot, Kemi, syksyn 2023 yhteishaku;29,00;371,07
Sairaanhoitaja (AMK), monimuoto-opinnot, Rovaniemi, syksyn 2023 yhteishaku;31,00;359,96
Sairaanhoitaja (AMK), päiväopinnot, Rovaniemi;73,00;320,47
Sosionomi (AMK), monimuoto-opinnot, Kemi;75,00;420,84
Sosionomi (AMK), verkko-opinnot, Kemi, syksyn 2023 yhteishaku;81,00;427,00
Terveydenhoitaja (AMK), monimuoto-opinnot, Kemi;64,00;344,56
Tiedolla johtamisen asiantuntija, verkko-opinnot, 60/90 op, Lapin AMK Master School (ylempi AMK);87,50;97,70
Tradenomi (AMK) liiketalous, monimuoto-opinnot, Tornio, syksyn 2023 yhteishaku;97,00;254,07
Tradenomi (AMK) liiketalous, päiväopinnot, Rovaniemi;74,00;234,77
Tradenomi (AMK) liiketalous, päiväopinnot, Tornio;31,00;192,00
Tradenomi (AMK) liiketalous, päiväopinnot, Tornio, syksyn 2023 yhteishaku;17,00;187,34
Tradenomi (AMK) liiketalous, verkko-opinnot, Tornio;88,00;249,47
Tradenomi (AMK) tietojenkäsittely, monimuoto-opinnot, Tornio, syksyn 2023 yhteishaku;86,00;229,71
Tradenomi (AMK) Tietojenkäsittely, päiväopinnot, Tornio;22,00;171,07
Tradenomi (AMK) Tietojenkäsittely, päiväopinnot, Tornio, syksyn 2023 yhteishaku;40,00;223,83
Tradenomi (AMK) tietojenkäsittely, verkko-opinnot, Tornio;84,00;267,97
Tradenomi (AMK), liiketalous, verkko-opinnot,  Rovaniemi, syksyn 2023 yhteishaku;100,00;250,72
Uudistuvan teollisuuden asiantuntija, insinööri (ylempi AMK), monimuoto-opinnot, Lapin AMK Master School (ylempi AMK);58,00;80,00
Uudistuvien sosiaali- ja terveyspalveluiden johtamisen asiantuntija, verkko-opinnot, 90 op, Lapin AMK Master School (ylempi AMK);76,10;90,90
Lapin yliopisto;;
Audiovisuaalisen mediakulttuurin koulutus, taiteen kandidaatti ja maisteri ( 3 v + 2 v), 2024;11,25;17,75
Erityisopettajan kandidaatti- ja maisteriohjelma, kasvatustieteen kandidaatti ja maisteri (3 v + 2 v), 2024;71,50;97,50
Graafisen suunnittelun koulutus, taiteen kandidaatti ja maisteri ( 3 v + 2 v), 2024;11,00;18,25
Hallintotieteiden ja johtamisen tutkinto-ohjelma, hallintotieteiden tai yhteiskuntatieteiden kandidaatti ja hallintotieteiden tai yhteiskuntatieteiden maisteri (3 v + 2 v), 2024;43,50;144,50
Kasvatusalan kandidaatti- ja maisteriohjelma, kasvatustieteen kandidaatti ja maisteri (3 v + 2 v), 2024;1,00;80,80
Kestävyyskasvatuksen kandidaatti- ja maisteriohjelma, kasvatustieteen kandidaatti ja maisteri (3 v + 2 v), 2024;9,00;97,50
Kuvataidekasvatuksen koulutus, taiteen kandidaatti ja maisteri ( 3 v + 2 v), 2024;14,63;20,50
LUC-väylä, Kestävyyskasvatuksen kandidaatti- ja maisteriohjelma, kasvatustieteen kandidaatti ja maisteri (3 v + 2 v), 2024;3,00;3,00
Luokanopettajan kandidaatti- ja maisteriohjelma, kasvatustieteen kandidaatti ja maisteri (3 v + 2 v), 2024;63,50;101,50
Maisterihaku, arktinen maailmanpolitiikka, yhteiskuntatieteiden maisteri (2 v), 2024;14,50;20,00
Maisterihaku, erityispedagogiikan asiantuntijan maisteriohjelma, kasvatustieteen maisteri (2 v), 2024;3,00;3,00
Maisterihaku, hallintotiede, hallintotieteiden maisteri (2 v), 2024;28,67;32,00
Maisterihaku, johtaminen, yhteiskuntatieteiden maisteri (2 v), 2024;29,00;33,00
Maisterihaku, kasvatustieteen maisteriohjelma, kasvatustieteen maisteri (2 v), 2024;3,00;4,00
Maisterihaku, kuvataidekasvatuksen koulutus, taiteen maisteri (2 v);10,75;13,25
Maisterihaku, luokanopettajan maisteriohjelma, kasvatustieteen maisteri (2 v), 2024;4,00;4,00
Maisterihaku, matkailututkimus, yhteiskuntatieteiden maisteri (2 v), 2024;25,00;31,50
Maisterihaku, mediakasvatuksen maisteriohjelma, kasvatustieteen maisteri (2 v), 2024;3,00;5,00
Maisterihaku, oikeustiede, oikeustieteen maisteri (2 v), Rovaniemi, 2024;5,20;11,17
Maisterihaku, palvelumuotoilun monialainen maisteriohjelma, taiteen maisteri (2 v), 2024;10,25;14,00
Maisterihaku, politiikkatieteet, kansainväliset suhteet tai valtio-oppi, yhteiskuntatieteiden maisteri (2 v), 2024;3,50;4,00
Maisterihaku, sosiaalityö, yhteiskuntatieteiden maisteri (2 v), Rovaniemi, 2024;11,50;15,00
Maisterihaku, taiteen asiantuntija maisteriohjelma, maisterin tutkinto (2 v), 2024;14,50;18,50
Maisterihaku, yhdenvertaisuuden ja jatkuvan oppimisen maisteriohjelma, kasvatustieteen maisteri (2 v), 2024;3,00;5,00
Matkailututkimuksen tutkinto-ohjelma, yhteiskuntatieteiden kandidaatti ja maisteri (3 v + 2 v), 2024;35,00;111,80
Muodin ja tekstiilisuunnittelun koulutusohjelma, taiteen kandidaatti ja maisteri ( 3 v + 2 v). 2024;10,50;18,13
Muotoilun koulutusohjelma, taiteen kandidaatti ja maisteri ( 3 v + 2 v). 2024;8,75;16,75
Northern Tourism, Master of Social Sciences 2024;10,00;15,00
Oikeusguru-kilpailun perusteella hakevien valinta, oikeustiede, oikeusnotaari ja oikeustieteen maisteri (3 v + 2 v), 2024;?;?
Oikeustiede, oikeusnotaari ja oikeustieteen maisteri (3 v + 2 v), Rovaniemi, 2024;53,00;149,00
Politiikkatieteiden ja sosiologian tutkinto-ohjelma, yhteiskuntatieteiden kandidaatti ja maisteri  (3 v + 2 v), 2024;30,00;133,00
Sosiaalityön tutkinto-ohjelma, yhteiskuntatieteiden kandidaatti ja maisteri (3 v + 2 v),  Rovaniemi, 2024;25,00;122,60
Soveltavan taiteen koulutusohjelma, taiteen kandidaatti ja maisteri ( 3 v + 2 v), 2024;10,88;18,88
Sustainable Art and Design, Master of Arts (Art and Design) 2024;22,50;29,00
Tourism, Culture and International Management, Master of Social Sciences 2024;26,00;29,00
Lappeenrannan-Lahden teknillinen yliopisto LUT;;
Energiatekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;13,00;105,00
Kauppatieteet, kauppatieteiden kandidaatti ja maisteri, (3 v + 2 v), Kauppatieteellisen alan yhteisvalinta;22,47;129,60
Kemiantekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;12,50;82,10
Konetekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;11,00;99,50
Laskennallinen tekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;11,00;88,50
LUT, Computational Engineering , Bachelor and Master of Science in Technology (3 yrs + 2 yrs);68,70;105,00
LUT, Electrical Engineering, Double Degree, Bachelor of Science (Technology) and Master of Science (Technology) (3 yrs + 2 yrs);36,30;87,40
LUT, Energy Technology, Double Degree, Bachelor of Science (Technology) and Master of Science (Technology) (3 yrs + 2 yrs);36,30;85,10
LUT, Industrial Engineering and Management, Bachelor of Science (Technology) and Master of Science (Technology) (3 yrs + 2 yrs);41,80;99,50
LUT, Mechanical Engineering, Double Degree, Bachelor of Science (Technology) and Master of Science (Technology) (3 yrs + 2 yrs);30,70;94,10
LUT, Software and Systems Engineering, Double Degree, Bachelor of Science (Technology) and Master of Science (Technology) (3 yrs + 2 yrs);41,50;99,60
LUT, Sustainable International Business , Bachelor and Master of Science in Economics and Business Administration (3 yrs + 2 yrs);90,60;138,40
LUT, Technology and Engineering Science, Bachelor of Science (Technology) and Master of Science (Technology) (3 yrs + 2 yrs);36,30;105,00
Sähkötekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;13,50;88,60
Tietotekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;9,00;87,50
Tuotantotalous, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;19,50;105,00
Viestintätieteet, yhteiskuntatieteiden kandidaatti ja maisteri (3 v + 2 v);38,70;122,00
Yhteiskuntatieteet, yhteiskuntatieteiden kandidaatti ja maisteri (3 v + 2 v);38,50;132,40
Ympäristötekniikka, tekniikan kandidaatti ja diplomi-insinööri  (3 v + 2 v) - DIA-yhteisvalinta;12,00;92,90
Laurea-ammattikorkeakoulu;;
Asiakaslähtöinen kehittäminen sosiaalialalla (ylempi AMK);79,00;92,00
Bachelor of Business Administration, Degree programme in Business Information Technology, Cyber Security, online studies;31,05;1 450,00
Bachelor of Business Administration, Degree programme in Business Information Technology, Developing Digital Services, online studies;25,05;1 330,00
Bachelor of Business Administration, Degree Programme in Business Management, daytime studies;28,60;1 390,00
Bachelor of Business Administration, Degree programme in Safety, Security and Risk Management, blended learning;22,45;48,90
Bachelor of Health Care, Degree programme in Nursing, daytime studies;41,80;72,30
Bachelor of Hospitality Management, Degree programmme in Hospitality Management and Service Design, full-time studies;47,05;92,00
Bachelor of Social Services, Degree programme in Social Services, daytime studies;54,00;78,15
Estenomi (AMK), kauneudenhoito- ja kosmetiikka-alan koulutus, päivätoteutus, Laurea Tikkurila;129,00;421,79
Estenomi (ylempi AMK), Kosmetiikka- asiantuntijuuden kehittäminen ja johtaminen;83,00;95,00
Fysioterapeutti (AMK), monimuotototeutus, Laurea Otaniemi;96,00;462,35
Fysioterapeutti (AMK), päivätoteutus, Laurea Otaniemi;119,00;400,04
Hoitotyön kliininen asiantuntijuus (ylempi AMK);73,83;95,00
Johtaminen ja kehittäminen sosiaali- ja terveysalan muutoksessa (ylempi AMK);81,00;92,00
Kuntoutuksenohjaaja (AMK), monimuotototeutus, Laurea Otaniemi;65,00;381,97
